drug_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
METHYLDIHYDROMORPHINE,,Schedule I (1961),509-56-8,6-methyldihydromorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 005 509-56-8 METHYLDIHYDROMORPHINE 6-methyldihydromorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
2-METHYL-AP-237,,Schedule I (1961),98608-61-8,1-{2-Methyl-4-[(2E)-3-phenylprop-2-en-1-yl]piperazin-1-yl}butan-1- one,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NB 014 98608-61-8 2-METHYL-AP-237 1-{2-Methyl-4-[(2E)-3-phenylprop-2-en-1-yl]piperazin-1-yl}butan-1-
one",2026-04-24T17:19:40.499545+00:00
3-METHYLFENTANYL,,Schedule I (1961),42045-86-3,N-(3-methyl-1-phenethyl-4-piperidyl)propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 017 42045-86-3 3-METHYLFENTANYL N-(3-methyl-1-phenethyl-4-piperidyl)propionanilide,2026-04-24T17:19:40.499545+00:00
3-METHYLTHIOFENTANYL,,Schedule I (1961),86052-04-2,N-[3-methyl-1-[2-(2-thienyl)ethyl]-4-piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 024 86052-04-2 3-METHYLTHIOFENTANYL N-[3-methyl-1-[2-(2-thienyl)ethyl]-4-piperidyl]propionanilide,2026-04-24T17:19:40.499545+00:00
METONITAZENE,,Schedule I (1961),14680-51-4,"N,N-diethyl-2-(2-(4-methoxybenzyl)-5-nitro-1H-benzo[d]imidazol- 1-yl)ethan-1-amine",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 026 14680-51-4 METONITAZENE N,N-diethyl-2-(2-(4-methoxybenzyl)-5-nitro-1H-benzo[d]imidazol-
1-yl)ethan-1-amine",2026-04-24T17:19:40.499545+00:00
METOPON,,Schedule I (1961),143-52-2,5-methyldihydromorphinone (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 006 143-52-2 METOPON 5-methyldihydromorphinone (derivative of morphine),2026-04-24T17:19:40.499545+00:00
MORAMIDE INTERMEDIATE,,Schedule I (1961),3626-55-9,"2-methyl-3-morpholino-1,1-diphenylpropane carboxylic acid",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 007 3626-55-9 MORAMIDE INTERMEDIATE 2-methyl-3-morpholino-1,1-diphenylpropane carboxylic acid",2026-04-24T17:19:40.499545+00:00
MORPHERIDINE,,Schedule I (1961),469-81-8,1-(2-morpholinoethyl)-4-phenylpiperidine-4-carboxylic acid ethyl ester,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 008 469-81-8 MORPHERIDINE 1-(2-morpholinoethyl)-4-phenylpiperidine-4-carboxylic acid ethyl
ester",2026-04-24T17:19:40.499545+00:00
MORPHINE,,Schedule I (1961),57-27-2,the principal alkaloid of opium and of opium poppy 2 Dextromethorphan and dextrorphan are not under international control. 5,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 009 57-27-2 MORPHINE the principal alkaloid of opium and of opium poppy
2 Dextromethorphan and dextrorphan are not under international control.
5",2026-04-24T17:19:40.499545+00:00
MORPHINE-N-OXIDE,,Schedule I (1961),639-46-3,(derivate of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 012 639-46-3 MORPHINE-N-OXIDE (derivate of morphine),2026-04-24T17:19:40.499545+00:00
MPPP,,Schedule I (1961),13147-09-6,1-methyl-4-phenyl-4-piperidinol propionate (ester),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 018 13147-09-6 MPPP 1-methyl-4-phenyl-4-piperidinol propionate (ester),2026-04-24T17:19:40.499545+00:00
