name,dea_code,schedule,narcotic,other_names,source,source_url,raw_text,fetched_at
(4-Methylnaphthalen-1-yl)(1-(2-morpholinoethyl)-1H-indol-3-yl)methanone,7000,I,N,(JWH–193),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(4-Methylnaphthalen-1-yl)(1-(2-morpholinoethyl)-1H- 7000 I N indol-3-yl)methanone (JWH–193),2026-04-24T17:24:50+00:00
(5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,7000,I,N,(JWH–307),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl)(naphthalen- 7000 I N 1-yl)methanone (JWH–307),2026-04-24T17:24:50+00:00
"(5-Methyl-3-(morpholinomethyl)-2,3-dihydro-[1,4]oxazino[2,3,4-hi]indol-6-yl)(naphthalen-1-",7000,I,N,"yl)methanone (WIN 55,212–2)",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"(5-Methyl-3-(morpholinomethyl)-2,3-dihydro- 7000 I N [1,4]oxazino[2,3,4-hi]indol-6-yl)(naphthalen-1- yl)methanone (WIN 55,212–2)",2026-04-24T17:24:50+00:00
"[3,2-c]-Furazan-5α-androstan-17β-ol",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"[3,2-c]-Furazan-5α-androstan-17β-ol 4000 III N",2026-04-24T17:24:50+00:00
"[3,2-c]Pyrazole-androst-4-en-17β-ol",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"[3,2-c]Pyrazole-androst-4-en-17β-ol 4000 III N",2026-04-24T17:24:50+00:00
"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)pentan-1-one",7552,I,N,"Dipentylone; N,N-dimethylpentylone",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)pentan-1- 7552 I N Dipentylone; N,N-dimethylpentylone one",2026-04-24T17:24:50+00:00
1-(1-Phenylcyclohexyl)pyrrolidine,7458,I,N,PCPy; PHP; rolicyclidine,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,1-(1-Phenylcyclohexyl)pyrrolidine 7458 I N PCPy; PHP; rolicyclidine,2026-04-24T17:24:50+00:00
1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,9663,I,Y,PEPAP; synthetic heroin,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine 9663 I Y PEPAP; synthetic heroin,2026-04-24T17:24:50+00:00
1-(5-Fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide,7083,I,N,5F-CUMYL-PINACA; SGT-25,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,1-(5-Fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole- 7083 I N 5F-CUMYL-PINACA; SGT-25 3-carboxamide,2026-04-24T17:24:50+00:00
1-[1-(2-Thienyl)cyclohexyl]piperidine,7470,I,N,TCP; tenocyclidine,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,1-[1-(2-Thienyl)cyclohexyl]piperidine 7470 I N TCP; tenocyclidine,2026-04-24T17:24:50+00:00
1-[1-(2-Thienyl)cyclohexyl]pyrrolidine,7473,I,N,TCPy,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,1-[1-(2-Thienyl)cyclohexyl]pyrrolidine 7473 I N TCPy,2026-04-24T17:24:50+00:00
13β-Ethyl-17β-hydroxygon-4-en-3-one,4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,13β-Ethyl-17β-hydroxygon-4-en-3-one 4000 III N,2026-04-24T17:24:50+00:00
"17α-Methyl-3α,17β-dihydroxy-5α-androstane",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17α-Methyl-3α,17β-dihydroxy-5α-androstane 4000 III N",2026-04-24T17:24:50+00:00
